CSV-Datei erstellt am: 14.09.2025 17:11:39
WAHLDATUM;WAHLART;GEBIET;EBENE;NR;BEZEICHNUNG;A;A1;A2;A3;B;B1;B2;C;D;D1;D2;D3;D4;D5
;;;;;;;;;;;;;;;CDU-GRÜNE;SPD;FDP;Die Linke;BZD
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;110.1;ENNI Verwaltungsgebäude, Foyer;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;110.2;Grundschule Moers-Hülsdonk;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;110.3;Stadt Moers, Altes Rathaus, Kinder- und Jugendbüro;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;110.9;Briefwahl Hülsdonk;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;111.1;Dienstleistungszentrum Moers, Foyer;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;111.2;Gebrüder-Grimm-Schule, Eingang Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;111.3;Gebrüder-Grimm-Schule, Forum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;111.9;Briefwahl Stadtmitte-Nord;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;112.1;Sparkasse Hülsdonk;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;112.2;Altes Landratsamt;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;112.3;Gymnasium Filder Benden, Aula;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;112.9;Briefwahl Stadtmitte-Altstadt;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;113.1;Heinrich-Pattberg-Realschule, Mensa Neubau;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;113.2;AWO Betreuungsverein Moers, Geschäftsstelle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;113.9;Briefwahl Stadtmitte-Süd;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;114.1;AWO Begegnungs- und Beratungszentrum Meerbeck;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;114.2;Katholische Grundschule St. Marien, OGATA-Anbau;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;114.3;Internationaler Kulturkreis Moers (IKM), Schulungsraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;114.9;Briefwahl Meerbeck / Hochstraß;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;115.1;Erich-Kästner-Schule ehemals Janusz-Korczak-Schule, Mensa;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;115.2;Geschwister-Scholl-Gesamtschule, Mensa;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;115.9;Briefwahl Hochstraß;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;116.1;Katholische Grundschule St. Marien, Forum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;116.2;Eichendorffschule, Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;116.9;Briefwahl Westerbruch / Hochstraß;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;117.1;Sparkasse Scherpenberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;117.2;Evangelische Kirchengemeinde Scherpenberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;117.3;Städtische Kindertageseinrichtung Eichenstraße, Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;117.9;Briefwahl Scherpenberg / Hochstraß;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;118.1;Sparkasse Vinn;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;118.2;Adolf-Reichwein-Schule, Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;118.3;Altes Pumpenhaus Wasserturm Vinn, Schulungsraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;118.9;Briefwahl Vinn;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;119.1;Heinrich-Pattberg-Realschule, Raum E.01;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;119.2;Heinrich-Pattberg-Realschule, Raum E. 02;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;119.3;Städtische Kindertageseinrichtung Wilhelm-Müller-Straße;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;119.9;Briefwahl Mattheck;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;120.1;Sparkasse Asberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;120.2;Nachbarschaftshaus Annastraße, Veranstaltungsraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;120.3;Eschenburgschule, Raum A 001;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;120.9;Briefwahl Asberg-Nord;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;121.1;Städtische Kindertageseinrichtung Am Pandyck, Flur;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;121.2;Gaststätte Haus Engeln;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;121.3;Eschenburgschule, Raum A 004;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;121.9;Briefwahl Asberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;122.1;Astrid-Lindgren-Schule, OGATA Pavillon, Raum 1;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;122.2;Astrid-Lindgren-Schule, OGATA Pavillon, Raum 2;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;122.3;TuWas Genossenschaft eG, "Polster und Mehr" - Gebäude;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;122.9;Briefwahl Scherpenberg/Asberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;123.1;Waldschule, Aula;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;123.2;Evangelischer Kinder- und Jugendtreff, Gemeindesaal;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;123.3;Waldschule, Raum N003 (Mitteltrakt);;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;123.9;Briefwahl Schwafheim / Asberg-Süd;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;124.1;Waldschule, Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;124.2;Sparkasse Schwafheim;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;124.9;Briefwahl Schwafheim;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;225.1;Städt. Kindertageseinrichtung Holderberg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;225.2;TV Vennikel;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;225.3;Städtische Kindertageseinrichtung Erlenweg;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;225.9;Briefwahl Holderberg/Vennikel;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;226.1;Dorsterfeldschule, Feierraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;226.2;Henri-Guidet-Zentrum, Vorraum zum Foyer;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;226.9;Briefwahl Kapellen-Mitte/Achterathsheide;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;227.1;Sparkasse Kapellen;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;227.2;Städtische Kindertageseinrichtung Orchideenstraße;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;227.9;Briefwahl Achterathsfeld;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;301.1;Mercedes Autohaus Josef Evertz;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;301.2;GGS Lindenschule (Hauptstandort), Raum 25;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;301.3;GGS Lindenschule (Hauptstandort), Turnhalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;301.9;Briefwahl Kohlenhuck / Repelen;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;302.1;GGS Lindenschule (Teilstandort), OGATA Gruppenraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;302.2;GGS Lindenschule (Teilstandort), OGATA Mehrzweckraum;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;302.9;Briefwahl Repelen-West/Genend;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;303.1;Sparkasse Repelen;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;303.2;SCI: Gemeinschaftsschule, Aula;;;;;;;;;;;;;;
